三效液相温度,三效气相温度,三效蒸发室气相压力,出料泵电流1,出料泵电流2,出料流量
52.102501,47.610001,-80.089996,11.0709,0.0207,1.0
51.855,47.610001,-80.099998,11.052899,0.0207,1.0
51.84,47.602501,-80.059998,11.0826,0.0207,1.0
51.727501,47.489998,-80.220001,11.0664,0.0207,1.0
51.727501,47.459999,-80.209999,11.0763,0.0207,1.0
51.600002,47.422501,-80.230003,11.0871,0.0207,1.0
51.510002,47.392502,-80.260002,10.954801,0.0207,1.0
51.510002,47.302498,-80.419998,11.0394,0.0207,1.0
51.495003,47.272499,-80.339996,11.0232,0.0207,1.0
51.4575,47.25,-80.370003,11.0475,0.0207,1.0
51.397499,47.227501,-80.400002,11.061,0.0207,1.0
51.465,47.219997,-80.360001,11.0727,0.0207,1.0
51.510002,47.235001,-80.389999,10.9989,0.0207,1.0
51.389999,47.189999,-80.470001,11.0448,0.0207,1.0
51.232498,47.16,-80.459999,11.0637,0.0207,1.0
51.090004,47.055,-80.57,10.9512,0.0207,1.0
50.6175,46.754997,-80.760002,11.033999,0.0207,1.0
50.579998,46.672501,-80.769997,11.037601,0.0207,1.0
50.474998,46.530003,-80.779999,11.0826,0.0207,1.0
51.674999,46.5075,-79.970001,11.0799,0.0207,1.0
51.945,46.747501,-80.150002,10.9836,0.0207,1.0
52.087502,47.047501,-80.089996,11.1051,0.0207,1.0
51.997501,47.265003,-80.120003,11.0745,0.0207,1.0
51.764999,47.362499,-80.25,11.0241,0.0207,1.0
51.240002,47.272499,-80.470001,11.0592,0.0207,1.0
50.9925,47.0625,-80.5,11.0718,0.0207,1.0
50.962498,46.98,-80.599998,11.0619,0.0207,1.0
50.820004,46.8825,-80.690002,11.0898,0.0207,1.0
50.8125,46.807503,-80.650002,11.0322,0.0207,1.0
50.677502,46.740002,-80.729996,11.097,0.0207,1.0
50.714996,46.642502,-80.709999,11.0718,0.0207,1.0
50.587498,46.530003,-80.790001,11.0322,0.0207,1.0
50.490002,46.5,-80.830002,10.982699,0.0207,1.0
50.6175,46.365002,-80.869995,11.0511,0.0207,1.0
50.43,46.349998,-80.940002,11.0889,0.0207,1.0
50.925003,46.4175,-80.68,11.1447,0.0207,1.0
51.0,46.5075,-80.639999,11.07,0.0207,1.0
51.0975,46.5975,-80.580002,11.043,0.0207,1.0
51.105,46.68,-80.580002,11.0673,0.0207,1.0
51.060001,46.732498,-80.610001,11.1096,0.0207,1.0
51.052502,46.740002,-80.629997,11.0304,0.0207,1.0
51.030003,46.754997,-80.660004,11.0601,0.0207,1.0
51.022499,46.747501,-80.639999,11.1447,0.0207,1.0
50.925003,46.732498,-80.639999,11.0664,0.0207,1.0
50.790001,46.717499,-80.720001,11.0457,0.0207,1.0
50.744999,46.657501,-80.729996,11.1501,0.0207,1.0
50.647499,46.612503,-80.760002,11.1501,0.0207,1.0
50.595001,46.567497,-80.849998,11.1096,0.0207,1.0
50.639999,46.5075,-80.349998,11.097,0.0207,1.0
51.870003,46.68,-80.209999,11.1321,0.0207,1.0
51.952503,46.965,-80.190002,10.998,0.0207,1.0
52.0275,47.197498,-80.130005,11.1015,0.0207,1.0
51.6525,47.310001,-80.300003,11.0511,0.0207,1.0
51.540001,47.324997,-80.400002,11.0988,0.0207,1.0
51.2925,47.2575,-80.520004,11.1573,0.0207,1.0
51.18,47.1675,-80.550003,11.1249,0.0207,1.0
50.887501,47.047501,-80.669998,11.1105,0.0207,1.0
50.820004,46.852501,-80.769997,11.1762,0.0207,1.0
50.7075,46.695,-80.760002,11.1159,0.0207,1.0
50.625,46.635002,-80.879997,11.126699,0.0207,1.0
50.557499,46.522499,-80.869995,11.151899,0.0207,1.0
51.014999,46.522499,-80.610001,11.1447,0.0207,1.0
51.037498,46.59,-80.580002,11.1348,0.0207,1.0
51.0,46.665001,-80.619995,11.091599,0.0207,1.0
50.970001,46.7775,-80.639999,11.0907,0.0207,1.0
51.022499,46.807503,-80.589996,11.1573,0.0207,1.0
51.007504,46.814999,-80.449997,11.1033,0.0207,1.0
51.165001,46.8675,-80.529999,11.0997,0.0207,1.0
51.105,46.875,-80.550003,11.1069,0.0207,1.0
51.030003,46.8825,-80.520004,11.1024,0.0207,1.0
51.030003,46.822502,-80.639999,11.1006,0.0207,1.0
50.827499,46.785,-80.57,11.1294,0.0207,1.0
50.827499,46.740002,-80.699997,11.1321,0.0207,1.0
50.737503,46.68,-80.779999,11.0772,0.0207,1.0
52.034996,46.68,-80.020004,11.091599,0.0207,1.0
52.110001,46.919998,-80.110001,10.9962,0.0216,1.0
52.110001,47.400002,-80.130005,11.0565,0.0207,1.0
51.674999,47.452503,-80.290001,11.085299,0.0207,1.0
51.375,47.392502,-80.370003,11.07,0.0207,1.0
51.435001,47.3325,-80.400002,11.0889,0.0207,1.0
51.345001,47.279999,-80.459999,11.016,0.0207,1.0
51.285,47.174999,-80.349998,11.1087,0.0207,1.0
51.209999,47.16,-80.410004,11.0304,0.0207,1.0
51.375,47.107498,-80.400002,11.014199,0.0207,1.0
51.262501,47.084999,-80.339996,11.1096,0.0207,1.0
51.427502,47.137497,-80.300003,11.0736,0.0207,1.0
51.412502,47.145,-80.270004,11.1033,0.0207,1.0
51.487499,47.1675,-80.150002,11.0709,0.0207,1.0
51.4575,47.212498,-80.150002,11.115,0.0207,1.0
51.3825,47.197498,-80.360001,11.0673,0.0207,1.0
